codes,requirement,syllabus,title,year
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC536  MC920,Estudos de tópicos avançados em redes de computadores.,MC950 - Recuperação de Imagens por Conteúdo,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC832,Estudos de tópicos avançados em sistemas operacionais.,MC953 - Tópicos em Redes de Computadores I,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC504,Estudos de tópicos avançados em bancos de dados.,MC954 - Tópicos em Sistemas Operacionais II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC536,Estudos de tópicos avançados em inteligência artificial.,MC956 - Tópicos em Bancos de Dados,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC906/ MC886,A ementa desta disciplina será definida por ocasião de seu oferecimento.,MC959 - Tópicos em Inteligência Artificial I,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,AA460,"Sistemas multimídia em redes e distribuídos, aplicações e serviços multimídia, controle de tráfego, modelagem, projeto, dimensionamento e planejamento de capacidade de sistemas multimídia em redes e distribuídos, simulação, emulação, introdução aos  processos estocásticos,  Teoria das Filas, técnicas de medições e monitoramento, projeto e análise experimental de sistemas, estudo de modelagem de sistemas utilizando Teoria de Otimização e Teoria de controle.",MC960 - Tópicos Especiais em Engenharia de Computação,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC832,Estudos de tópicos avançados em redes de computadores.,MC962 - Projeto de Redes Multimídia,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC832,Estudos de tópicos avançados em computação distribuída.,MC963 - Tópicos em Redes de Computadores II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC714,"Mecanismos e modelos de programação paralela utilizados em arquiteturas multicore. Sincronização de threads (ex. locks, mutexes, semáforos e barreiras).",MC964 - Tópicos em Computação Distribuída,2018
OF:S-6 T:002 P:000 L:002 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC202,"Metodologias de programação (usando, por exemplo, Pthreads e OpenMP). Técnicas de programação paralela na nuvem (usando, por exemplo, Map-Reduce). Ao final do curso, espera-se que o aluno compreenda os principais métodos usados em computação paralela, e os ambientes de programação comumente utilizados na indústria.",MC970 - Introdução à Programação Paralela,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:S FM:75%,MC504,Princípio de programação concorrente. Processos Concorrentes. Exclusão Mútua. Memória Compartilhada. Primitivas de Sincronização. Consenso. Estrutura de Dados Concorrentes.,MC971 - Introdução à Programação Concorrente,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC732,Estudos de tópicos avançados em arquitetura e hardware de computadores.,MC972 - Tópicos em Arquitetura e Hardware I,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC732,Estudos de tópicos avançados em arquitetura e hardware de computadores.,MC973 - Tópicos em Arquitetura e Hardware II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC426,Estudos de tópicos avançados em engenharia de software.,MC976 - Tópicos em Engenharia de Software II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC906/ MC886,Estudos de tópicos avançados em inteligência artificial.,MC979 - Tópicos em Inteligência Artificial II,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC750,Estudos de tópicos avançados em interfaces humano-computador.,MC986 - Tópicos em Interfaces Humano-Computador,2018
OF:S-6 T:004 P:000 L:000 O:000 D:000 HS:004 SL:004 C:004 AV:N EX:N FM:75%,MC558,"Problemas de fluxos em redes: teoria, algoritmos e aplicações.",MC998 - Fluxo em Redes,2018
